Sample in Buffer,Sample in Window,TRIGGER,dbg_pc[14:0],dbg_rstn,dbg_uart_addr,dbg_uart_tx_pre,dbg_uart_tx_valid,trap_trigger,reg_dec_pc[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
2140,2140,0,0058,1,0,1,0,0,00000000
2141,2141,0,005c,1,0,1,0,0,00000054
2142,2142,0,0068,1,0,1,0,0,00000054
2143,2143,0,006c,1,0,1,0,0,00000000
2144,2144,0,0070,1,0,1,0,0,00000068
2145,2145,0,0070,1,0,1,0,0,00000068
2146,2146,0,0070,1,0,1,0,0,00000068
2147,2147,0,0074,1,0,1,0,0,0000006c
2148,2148,0,0078,1,0,1,0,0,00000070
2149,2149,0,007c,1,0,1,0,0,00000074
2150,2150,0,0080,1,0,1,0,0,00000078
2151,2151,0,0084,1,0,1,0,0,0000007c
2152,2152,0,0088,1,0,1,0,0,00000080
2153,2153,0,008c,1,0,1,0,0,00000084
2154,2154,0,0090,1,0,1,0,0,00000088
2155,2155,0,0090,1,0,1,0,0,00000088
2156,2156,0,0090,1,0,1,0,0,00000088
2157,2157,0,0094,1,0,1,0,0,0000008c
2158,2158,0,0094,1,0,1,0,0,0000008c
2159,2159,0,0098,1,0,1,0,0,00000090
2160,2160,0,009c,1,0,1,0,0,00000094
2161,2161,0,00a0,1,0,1,0,0,00000098
2162,2162,0,00a4,1,0,1,0,0,0000009c
2163,2163,0,00a8,1,0,1,0,0,000000a0
2164,2164,0,00ac,1,0,1,0,0,000000a4
2165,2165,0,00ac,1,0,1,0,0,000000a4
2166,2166,0,00ac,1,0,1,0,0,000000a4
2167,2167,0,00b0,1,0,1,0,0,000000a8
2168,2168,0,00b4,1,0,1,0,0,000000ac
2169,2169,0,0054,1,0,1,0,0,000000ac
2170,2170,0,0058,1,0,1,0,0,00000000
2171,2171,0,005c,1,0,1,0,0,00000054
2172,2172,0,0068,1,0,1,0,0,00000054
2173,2173,0,006c,1,0,1,0,0,00000000
2174,2174,0,0070,1,0,1,0,0,00000068
2175,2175,0,0070,1,0,1,0,0,00000068
2176,2176,0,0070,1,0,1,0,0,00000068
2177,2177,0,0074,1,0,1,0,0,0000006c
2178,2178,0,0078,1,0,1,0,0,00000070
2179,2179,0,007c,1,0,1,0,0,00000074
2180,2180,0,0080,1,0,1,0,0,00000078
2181,2181,0,0084,1,0,1,0,0,0000007c
2182,2182,0,0088,1,0,1,0,0,00000080
2183,2183,0,008c,1,0,1,0,0,00000084
2184,2184,0,0090,1,0,1,0,0,00000088
2185,2185,0,0090,1,0,1,0,0,00000088
2186,2186,0,0090,1,0,1,0,0,00000088
2187,2187,0,0094,1,0,1,0,0,0000008c
2188,2188,0,0094,1,0,1,0,0,0000008c
2189,2189,0,0098,1,0,1,0,0,00000090
2190,2190,0,009c,1,0,1,0,0,00000094
2191,2191,0,00a0,1,0,1,0,0,00000098
2192,2192,0,00a4,1,0,1,0,0,0000009c
2193,2193,0,00a8,1,0,1,0,0,000000a0
2194,2194,0,00ac,1,0,1,0,0,000000a4
2195,2195,0,00ac,1,0,1,0,0,000000a4
2196,2196,0,00ac,1,0,1,0,0,000000a4
2197,2197,0,00b0,1,0,1,0,0,000000a8
2198,2198,0,00b4,1,0,1,0,0,000000ac
2199,2199,0,0054,1,0,1,0,0,000000ac
2200,2200,0,0058,1,0,1,0,0,00000000
2201,2201,0,005c,1,0,1,0,0,00000054
2202,2202,0,0068,1,0,1,0,0,00000054
2203,2203,0,006c,1,0,1,0,0,00000000
2204,2204,0,0070,1,0,1,0,0,00000068
2205,2205,0,0070,1,0,1,0,0,00000068
2206,2206,0,0070,1,0,1,0,0,00000068
2207,2207,0,0074,1,0,1,0,0,0000006c
2208,2208,0,0078,1,0,1,0,0,00000070
2209,2209,0,007c,1,0,1,0,0,00000074
2210,2210,0,0080,1,0,1,0,0,00000078
2211,2211,0,0084,1,0,1,0,0,0000007c
2212,2212,0,0088,1,0,1,0,0,00000080
2213,2213,0,008c,1,0,1,0,0,00000084
2214,2214,0,0090,1,0,1,0,0,00000088
2215,2215,0,0090,1,0,1,0,0,00000088
2216,2216,0,0090,1,0,1,0,0,00000088
2217,2217,0,0094,1,0,1,0,0,0000008c
2218,2218,0,0094,1,0,1,0,0,0000008c
2219,2219,0,0098,1,0,1,0,0,00000090
2220,2220,0,009c,1,0,1,0,0,00000094
2221,2221,0,00a0,1,0,1,0,0,00000098
2222,2222,0,00a4,1,0,1,0,0,0000009c
2223,2223,0,00a8,1,0,1,0,0,000000a0
2224,2224,0,00ac,1,0,1,0,0,000000a4
2225,2225,0,00ac,1,0,1,0,0,000000a4
2226,2226,0,00ac,1,0,1,0,0,000000a4
2227,2227,0,00b0,1,0,1,0,0,000000a8
2228,2228,0,00b4,1,0,1,0,0,000000ac
2229,2229,0,0054,1,0,1,0,0,000000ac
2230,2230,0,0058,1,0,1,0,0,00000000
2231,2231,0,005c,1,0,1,0,0,00000054
2232,2232,0,0068,1,0,1,0,0,00000054
2233,2233,0,006c,1,0,1,0,0,00000000
2234,2234,0,0070,1,0,1,0,0,00000068
2235,2235,0,0070,1,0,1,0,0,00000068
2236,2236,0,0070,1,0,1,0,0,00000068
2237,2237,0,0074,1,0,1,0,0,0000006c
